"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\nbuma\flutter-projects\chatbot\lib\core\error\exception.dart", "Dart", 6, 0, 2, 8
"c:\Users\nbuma\flutter-projects\chatbot\lib\core\error\failures.dart", "Dart", 13, 0, 4, 17
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\constants.dart", "Dart", 4, 0, 2, 6
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\datasources\api_remote_datasource.dart", "Dart", 125, 11, 29, 165
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\datasources\firebase\auth.dart", "Dart", 35, 0, 7, 42
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\datasources\firebase\firestore.dart", "Dart", 103, 13, 18, 134
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\models\answer_model.dart", "Dart", 13, 0, 4, 17
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\models\speech_model.dart", "Dart", 17, 0, 4, 21
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\models\transcription_model.dart", "Dart", 15, 0, 4, 19
"c:\Users\nbuma\flutter-projects\chatbot\lib\data\repositories\api_repository_impl.dart", "Dart", 48, 0, 6, 54
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\entities\answer_entity.dart", "Dart", 14, 0, 4, 18
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\entities\chat_message_entity.dart", "Dart", 9, 0, 4, 13
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\entities\speech_entity.dart", "Dart", 22, 0, 6, 28
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\entities\transcription_entity.dart", "Dart", 16, 0, 4, 20
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\entities\viseme_entity.dart", "Dart", 5, 0, 2, 7
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\repositories\api_repository.dart", "Dart", 13, 0, 2, 15
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\usecases\get_answer.dart", "Dart", 13, 0, 4, 17
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\usecases\get_speech.dart", "Dart", 13, 0, 4, 17
"c:\Users\nbuma\flutter-projects\chatbot\lib\domain\usecases\get_transcription.dart", "Dart", 11, 0, 4, 15
"c:\Users\nbuma\flutter-projects\chatbot\lib\injector.dart", "Dart", 28, 0, 4, 32
"c:\Users\nbuma\flutter-projects\chatbot\lib\main.dart", "Dart", 33, 1, 4, 38
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\block_provider.dart", "Dart", 9, 0, 4, 13
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\chat_provider.dart", "Dart", 79, 0, 17, 96
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\gender_provider.dart", "Dart", 23, 0, 7, 30
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\language_provider.dart", "Dart", 23, 0, 7, 30
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\model_provider.dart", "Dart", 23, 0, 7, 30
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\provider\recording_provider.dart", "Dart", 9, 0, 4, 13
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\home_screen\home_screen.dart", "Dart", 19, 0, 3, 22
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\home_screen\widgets\drawer_widget.dart", "Dart", 96, 1, 6, 103
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\login_register_screen\login_register_screen.dart", "Dart", 120, 4, 12, 136
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\profile_screen\profile_screen.dart", "Dart", 31, 0, 6, 37
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\settings_screen\settings_screen.dart", "Dart", 125, 0, 9, 134
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\speech_screen\speech_screen.dart", "Dart", 325, 16, 39, 380
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\speech_screen\widgets\chat_bubble.dart", "Dart", 72, 0, 6, 78
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\speech_screen\widgets\record_control_widget.dart", "Dart", 84, 0, 5, 89
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\speech_screen\widgets\sliding_up_panel_widget.dart", "Dart", 158, 0, 9, 167
"c:\Users\nbuma\flutter-projects\chatbot\lib\presentation\screens\tree_screen\tree_screen.dart", "Dart", 29, 0, 4, 33
"c:\Users\nbuma\flutter-projects\chatbot\lib\theme\app_bar_theme.dart", "Dart", 20, 0, 5, 25
"c:\Users\nbuma\flutter-projects\chatbot\lib\theme\dark_theme.dart", "Dart", 15, 0, 2, 17
"c:\Users\nbuma\flutter-projects\chatbot\lib\theme\light_theme.dart", "Dart", 35, 0, 2, 37
"c:\Users\nbuma\flutter-projects\chatbot\lib\utils\helper_widgets.dart", "Dart", 17, 0, 7, 24
"Total", "-", 1868, 46, 283, 2197